Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;113,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;99,7
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;93,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;95,7
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;93,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;105,7
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;88,8
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;81,9
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;79,9
Ambos sexos;01 Andalucía;Educación superior;2014;257,1
Ambos sexos;01 Andalucía;Educación superior;2015;241,0
Ambos sexos;01 Andalucía;Educación superior;2016;220,2
Ambos sexos;01 Andalucía;Educación superior;2017;184,1
Ambos sexos;01 Andalucía;Educación superior;2018;174,9
Ambos sexos;01 Andalucía;Educación superior;2019;166,0
Ambos sexos;01 Andalucía;Educación superior;2020;204,6
Ambos sexos;01 Andalucía;Educación superior;2021;211,0
Ambos sexos;01 Andalucía;Educación superior;2022;177,8
Ambos sexos;01 Andalucía;Educación superior;2023;183,8
Ambos sexos;01 Andalucía;Educación superior;2024;162,7
Ambos sexos;02 Aragón;Analfabetos;2014;1,4
Ambos sexos;02 Aragón;Analfabetos;2015;0,8
Ambos sexos;02 Aragón;Analfabetos;2016;0,2
Ambos sexos;02 Aragón;Analfabetos;2017;0,5
Ambos sexos;02 Aragón;Analfabetos;2018;0,5
Ambos sexos;02 Aragón;Analfabetos;2019;1,0
Ambos sexos;02 Aragón;Analfabetos;2020;1,2
Ambos sexos;02 Aragón;Analfabetos;2021;0,8
Ambos sexos;02 Aragón;Analfabetos;2022;1,0
Ambos sexos;02 Aragón;Analfabetos;2023;0,5
Ambos sexos;02 Aragón;Analfabetos;2024;0,9
Ambos sexos;02 Aragón;Estudios primarios incompletos;2014;3,6
Ambos sexos;02 Aragón;Estudios primarios incompletos;2015;2,4
Ambos sexos;02 Aragón;Estudios primarios incompletos;2016;2,4
Ambos sexos;02 Aragón;Estudios primarios incompletos;2017;1,0
Ambos sexos;02 Aragón;Estudios primarios incompletos;2018;1,6
Ambos sexos;02 Aragón;Estudios primarios incompletos;2019;1,5
Ambos sexos;02 Aragón;Estudios primarios incompletos;2020;1,9
Ambos sexos;02 Aragón;Estudios primarios incompletos;2021;0,8
Ambos sexos;02 Aragón;Estudios primarios incompletos;2022;2,1
Ambos sexos;02 Aragón;Estudios primarios incompletos;2023;1,0
Ambos sexos;02 Aragón;Estudios primarios incompletos;2024;1,0
Ambos sexos;02 Aragón;Educación primaria;2014;19,3
Ambos sexos;02 Aragón;Educación primaria;2015;14,2
Ambos sexos;02 Aragón;Educación primaria;2016;10,5
Ambos sexos;02 Aragón;Educación primaria;2017;9,1
Ambos sexos;02 Aragón;Educación primaria;2018;9,5
Ambos sexos;02 Aragón;Educación primaria;2019;7,7
Ambos sexos;02 Aragón;Educación primaria;2020;6,4
Ambos sexos;02 Aragón;Educación primaria;2021;4,5
Ambos sexos;02 Aragón;Educación primaria;2022;5,3
Ambos sexos;02 Aragón;Educación primaria;2023;5,3
Ambos sexos;02 Aragón;Educación primaria;2024;4,7
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2014;37,3
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2015;32,3
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2016;30,1
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2017;25,8
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2018;22,5
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2019;19,7
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2020;22,9
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2021;18,5
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2022;22,8
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2023;18,4
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2024;18,8
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2014;23,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2015;20,0
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2016;17,9
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2017;12,7
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2018;11,1
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2019;9,8
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2020;12,2
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2021;11,9
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2022;7,2
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2023;6,6
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2024;9,2
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;15,6
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;11,7
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;11,6
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;9,1
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;8,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;8,6
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;9,8
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;11,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;8,8
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;8,0
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;7,3
Ambos sexos;02 Aragón;Educación superior;2014;30,8
Ambos sexos;02 Aragón;Educación superior;2015;23,9
Ambos sexos;02 Aragón;Educación superior;2016;23,0
Ambos sexos;02 Aragón;Educación superior;2017;16,4
Ambos sexos;02 Aragón;Educación superior;2018;14,6
Ambos sexos;02 Aragón;Educación superior;2019;17,1
Ambos sexos;02 Aragón;Educación superior;2020;21,0
Ambos sexos;02 Aragón;Educación superior;2021;19,8
Ambos sexos;02 Aragón;Educación superior;2022;16,6
Ambos sexos;02 Aragón;Educación superior;2023;17,5
Ambos sexos;02 Aragón;Educación superior;2024;13,1
Ambos sexos;03 Asturias, Principado de;Analfabetos;2014;0,2
Ambos sexos;03 Asturias, Principado de;Analfabetos;2015;0,3
Ambos sexos;03 Asturias, Principado de;Analfabetos;2016;0,1
Ambos sexos;03 Asturias, Principado de;Analfabetos;2017;0,0
Ambos sexos;03 Asturias, Principado de;Analfabetos;2018;..
Ambos sexos;03 Asturias, Principado de;Analfabetos;2019;0,2
Ambos sexos;03 Asturias, Principado de;Analfabetos;2020;0,1
Ambos sexos;03 Asturias, Principado de;Analfabetos;2021;0,2
Ambos sexos;03 Asturias, Principado de;Analfabetos;2022;0,3
Ambos sexos;03 Asturias, Principado de;Analfabetos;2023;..
Ambos sexos;03 Asturias, Principado de;Analfabetos;2024;0,8
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2014;1,3
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2015;0,5
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2016;0,2
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2017;0,4
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2018;0,5
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2019;0,3
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2020;0,1
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2021;..
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2022;0,3
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2023;0,4
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2024;0,3
Ambos sexos;03 Asturias, Principado de;Educación primaria;2014;9,2
Ambos sexos;03 Asturias, Principado de;Educación primaria;2015;8,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2016;8,1
Ambos sexos;03 Asturias, Principado de;Educación primaria;2017;6,0
Ambos sexos;03 Asturias, Principado de;Educación primaria;2018;3,8
Ambos sexos;03 Asturias, Principado de;Educación primaria;2019;2,5
Ambos sexos;03 Asturias, Principado de;Educación primaria;2020;1,9
Ambos sexos;03 Asturias, Principado de;Educación primaria;2021;1,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2022;1,9
Ambos sexos;03 Asturias, Principado de;Educación primaria;2023;2,4
Ambos sexos;03 Asturias, Principado de;Educación primaria;2024;2,2
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2014;35,0
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2015;28,2
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2016;25,5
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2017;20,2
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2018;20,4
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2019;23,2
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2020;19,5
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2021;16,9
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2022;18,3
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2023;17,5
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2024;14,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2014;10,0
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2015;10,8
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2016;10,6
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2017;9,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2018;10,0
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2019;11,0
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2020;11,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2021;8,5
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2022;7,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2023;8,7
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2024;8,0
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;11,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;8,3
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;8,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;5,7
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;7,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;7,3
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;8,3
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;7,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;7,4
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;8,4
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;6,7
Ambos sexos;03 Asturias, Principado de;Educación superior;2014;33,9
Ambos sexos;03 Asturias, Principado de;Educación superior;2015;32,2
Ambos sexos;03 Asturias, Principado de;Educación superior;2016;30,0
Ambos sexos;03 Asturias, Principado de;Educación superior;2017;21,5
Ambos sexos;03 Asturias, Principado de;Educación superior;2018;19,2
Ambos sexos;03 Asturias, Principado de;Educación superior;2019;19,6
Ambos sexos;03 Asturias, Principado de;Educación superior;2020;21,6
Ambos sexos;03 Asturias, Principado de;Educación superior;2021;19,8
Ambos sexos;03 Asturias, Principado de;Educación superior;2022;18,8
Ambos sexos;03 Asturias, Principado de;Educación superior;2023;16,9
Ambos sexos;03 Asturias, Principado de;Educación superior;2024;13,6
Ambos sexos;04 Balears, Illes;Analfabetos;2014;1,9
Ambos sexos;04 Balears, Illes;Analfabetos;2015;2,1
Ambos sexos;04 Balears, Illes;Analfabetos;2016;1,6
Ambos sexos;04 Balears, Illes;Analfabetos;2017;0,9
Ambos sexos;04 Balears, Illes;Analfabetos;2018;0,6
Ambos sexos;04 Balears, Illes;Analfabetos;2019;0,7
Ambos sexos;04 Balears, Illes;Analfabetos;2020;0,5
Ambos sexos;04 Balears, Illes;Analfabetos;2021;0,8
Ambos sexos;04 Balears, Illes;Analfabetos;2022;0,1
Ambos sexos;04 Balears, Illes;Analfabetos;2023;0,7
Ambos sexos;04 Balears, Illes;Analfabetos;2024;0,3
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2014;4,1
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2015;3,6
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2016;2,0
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2017;1,1
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2018;1,4
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2019;0,8
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2020;1,0
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2021;1,3
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2022;0,6
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2023;1,3
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2024;0,8
Ambos sexos;04 Balears, Illes;Educación primaria;2014;10,7
Ambos sexos;04 Balears, Illes;Educación primaria;2015;9,1
Ambos sexos;04 Balears, Illes;Educación primaria;2016;5,3
Ambos sexos;04 Balears, Illes;Educación primaria;2017;2,8
Ambos sexos;04 Balears, Illes;Educación primaria;2018;3,5
Ambos sexos;04 Balears, Illes;Educación primaria;2019;4,8
Ambos sexos;04 Balears, Illes;Educación primaria;2020;4,9
Ambos sexos;04 Balears, Illes;Educación primaria;2021;5,6
Ambos sexos;04 Balears, Illes;Educación primaria;2022;7,5
Ambos sexos;04 Balears, Illes;Educación primaria;2023;6,4
Ambos sexos;04 Balears, Illes;Educación primaria;2024;5,3
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2014;51,8
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2015;45,9
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2016;41,3
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2017;36,4
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2018;30,9
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2019;30,0
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2020;35,6
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2021;31,3
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2022;24,7
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2023;22,9
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2024;22,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2014;19,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2015;19,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2016;13,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2017;14,2
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2018;16,2
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2019;15,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2020;24,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2021;18,9
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2022;14,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2023;12,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2024;13,3
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;10,8
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;10,2
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;9,0
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;7,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;9,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;9,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;11,5
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;9,2
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;5,8
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;7,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;7,2
Ambos sexos;04 Balears, Illes;Educación superior;2014;22,3
Ambos sexos;04 Balears, Illes;Educación superior;2015;16,4
Ambos sexos;04 Balears, Illes;Educación superior;2016;13,3
Ambos sexos;04 Balears, Illes;Educación superior;2017;13,5
Ambos sexos;04 Balears, Illes;Educación superior;2018;10,9
Ambos sexos;04 Balears, Illes;Educación superior;2019;15,0
Ambos sexos;04 Balears, Illes;Educación superior;2020;23,6
Ambos sexos;04 Balears, Illes;Educación superior;2021;22,7
Ambos sexos;04 Balears, Illes;Educación superior;2022;15,6
Ambos sexos;04 Balears, Illes;Educación superior;2023;16,4
Ambos sexos;04 Balears, Illes;Educación superior;2024;13,6
Ambos sexos;05 Canarias;Analfabetos;2014;1,4
Ambos sexos;05 Canarias;Analfabetos;2015;2,5
Ambos sexos;05 Canarias;Analfabetos;2016;0,8
Ambos sexos;05 Canarias;Analfabetos;2017;1,3
Ambos sexos;05 Canarias;Analfabetos;2018;1,1
Ambos sexos;05 Canarias;Analfabetos;2019;0,6
Ambos sexos;05 Canarias;Analfabetos;2020;2,5
Ambos sexos;05 Canarias;Analfabetos;2021;1,8
Ambos sexos;05 Canarias;Analfabetos;2022;0,6
Ambos sexos;05 Canarias;Analfabetos;2023;0,8
Ambos sexos;05 Canarias;Analfabetos;2024;0,5
Ambos sexos;05 Canarias;Estudios primarios incompletos;2014;14,2
Ambos sexos;05 Canarias;Estudios primarios incompletos;2015;10,7
Ambos sexos;05 Canarias;Estudios primarios incompletos;2016;9,5
Ambos sexos;05 Canarias;Estudios primarios incompletos;2017;6,5
Ambos sexos;05 Canarias;Estudios primarios incompletos;2018;6,6
Ambos sexos;05 Canarias;Estudios primarios incompletos;2019;4,7
Ambos sexos;05 Canarias;Estudios primarios incompletos;2020;5,9
Ambos sexos;05 Canarias;Estudios primarios incompletos;2021;4,6
Ambos sexos;05 Canarias;Estudios primarios incompletos;2022;2,4
Ambos sexos;05 Canarias;Estudios primarios incompletos;2023;2,0
Ambos sexos;05 Canarias;Estudios primarios incompletos;2024;2,1
Ambos sexos;05 Canarias;Educación primaria;2014;57,8
Ambos sexos;05 Canarias;Educación primaria;2015;47,0
Ambos sexos;05 Canarias;Educación primaria;2016;39,4
Ambos sexos;05 Canarias;Educación primaria;2017;33,9
Ambos sexos;05 Canarias;Educación primaria;2018;28,1
Ambos sexos;05 Canarias;Educación primaria;2019;28,0
Ambos sexos;05 Canarias;Educación primaria;2020;25,7
Ambos sexos;05 Canarias;Educación primaria;2021;28,4
Ambos sexos;05 Canarias;Educación primaria;2022;19,2
Ambos sexos;05 Canarias;Educación primaria;2023;21,2
Ambos sexos;05 Canarias;Educación primaria;2024;12,0
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2014;128,5
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2015;123,1
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2016;104,8
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2017;93,9
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2018;84,3
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2019;84,5
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2020;77,0
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2021;84,2
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2022;64,3
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2023;63,2
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2024;56,5
Ambos sexos;05 Canarias;Segunda etapa de educación secundaria, con orientación general;2014;54,4
Ambos sexos;05 Canarias;Segunda etapa de educación secundaria, con orientación general;2015;45,4
Ambos sexos;05 Canarias;Segunda etapa de educación secundaria, con orientación general;2016;41,7
Ambos sexos;05 Canarias;Segunda etapa de educación secundaria, con orientación general;2017;40,8
