Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;76,1
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;76,0
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;80,5
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;82,2
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;83,9
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;85,5
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;91,7
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;95,6
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;83,6
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;89,2
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;92,3
Ambos sexos;02 Aragón;Educación superior;2014;249,0
Ambos sexos;02 Aragón;Educación superior;2015;244,8
Ambos sexos;02 Aragón;Educación superior;2016;249,7
Ambos sexos;02 Aragón;Educación superior;2017;251,0
Ambos sexos;02 Aragón;Educación superior;2018;259,5
Ambos sexos;02 Aragón;Educación superior;2019;269,8
Ambos sexos;02 Aragón;Educación superior;2020;269,4
Ambos sexos;02 Aragón;Educación superior;2021;278,8
Ambos sexos;02 Aragón;Educación superior;2022;295,1
Ambos sexos;02 Aragón;Educación superior;2023;299,7
Ambos sexos;02 Aragón;Educación superior;2024;291,0
Ambos sexos;03 Asturias, Principado de;Analfabetos;2014;0,4
Ambos sexos;03 Asturias, Principado de;Analfabetos;2015;1,0
Ambos sexos;03 Asturias, Principado de;Analfabetos;2016;0,4
Ambos sexos;03 Asturias, Principado de;Analfabetos;2017;0,1
Ambos sexos;03 Asturias, Principado de;Analfabetos;2018;0,2
Ambos sexos;03 Asturias, Principado de;Analfabetos;2019;0,4
Ambos sexos;03 Asturias, Principado de;Analfabetos;2020;0,1
Ambos sexos;03 Asturias, Principado de;Analfabetos;2021;0,2
Ambos sexos;03 Asturias, Principado de;Analfabetos;2022;0,3
Ambos sexos;03 Asturias, Principado de;Analfabetos;2023;..
Ambos sexos;03 Asturias, Principado de;Analfabetos;2024;1,1
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2014;2,7
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2015;1,6
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2016;1,3
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2017;1,6
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2018;1,8
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2019;0,8
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2020;1,2
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2021;1,2
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2022;1,1
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2023;0,7
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2024;0,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2014;30,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2015;29,9
Ambos sexos;03 Asturias, Principado de;Educación primaria;2016;31,9
Ambos sexos;03 Asturias, Principado de;Educación primaria;2017;21,4
Ambos sexos;03 Asturias, Principado de;Educación primaria;2018;16,2
Ambos sexos;03 Asturias, Principado de;Educación primaria;2019;8,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2020;8,0
Ambos sexos;03 Asturias, Principado de;Educación primaria;2021;6,8
Ambos sexos;03 Asturias, Principado de;Educación primaria;2022;6,8
Ambos sexos;03 Asturias, Principado de;Educación primaria;2023;7,4
Ambos sexos;03 Asturias, Principado de;Educación primaria;2024;6,1
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2014;120,4
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2015;108,6
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2016;105,6
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2017;107,5
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2018;107,0
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2019;114,8
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2020;103,7
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2021;107,1
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2022;109,0
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2023;107,8
Ambos sexos;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2024;104,4
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2014;61,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2015;64,8
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2016;65,0
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2017;62,0
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2018;61,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2019;63,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2020;63,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2021;56,3
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2022;56,6
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2023;56,7
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2024;62,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;48,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;48,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;48,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;48,8
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;48,6
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;45,4
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;51,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;55,4
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;54,3
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;58,7
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;66,7
Ambos sexos;03 Asturias, Principado de;Educación superior;2014;212,7
Ambos sexos;03 Asturias, Principado de;Educación superior;2015;211,0
Ambos sexos;03 Asturias, Principado de;Educación superior;2016;215,5
Ambos sexos;03 Asturias, Principado de;Educación superior;2017;217,1
Ambos sexos;03 Asturias, Principado de;Educación superior;2018;218,7
Ambos sexos;03 Asturias, Principado de;Educación superior;2019;217,8
Ambos sexos;03 Asturias, Principado de;Educación superior;2020;216,5
Ambos sexos;03 Asturias, Principado de;Educación superior;2021;219,6
Ambos sexos;03 Asturias, Principado de;Educación superior;2022;210,8
Ambos sexos;03 Asturias, Principado de;Educación superior;2023;215,3
Ambos sexos;03 Asturias, Principado de;Educación superior;2024;219,0
Ambos sexos;04 Balears, Illes;Analfabetos;2014;1,9
Ambos sexos;04 Balears, Illes;Analfabetos;2015;4,2
Ambos sexos;04 Balears, Illes;Analfabetos;2016;4,4
Ambos sexos;04 Balears, Illes;Analfabetos;2017;2,4
Ambos sexos;04 Balears, Illes;Analfabetos;2018;1,3
Ambos sexos;04 Balears, Illes;Analfabetos;2019;2,0
Ambos sexos;04 Balears, Illes;Analfabetos;2020;2,3
Ambos sexos;04 Balears, Illes;Analfabetos;2021;3,0
Ambos sexos;04 Balears, Illes;Analfabetos;2022;2,0
Ambos sexos;04 Balears, Illes;Analfabetos;2023;3,2
Ambos sexos;04 Balears, Illes;Analfabetos;2024;2,3
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2014;11,0
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2015;10,7
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2016;8,0
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2017;7,8
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2018;6,4
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2019;8,1
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2020;3,4
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2021;3,0
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2022;7,3
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2023;7,0
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2024;4,6
Ambos sexos;04 Balears, Illes;Educación primaria;2014;37,9
Ambos sexos;04 Balears, Illes;Educación primaria;2015;33,9
Ambos sexos;04 Balears, Illes;Educación primaria;2016;27,6
Ambos sexos;04 Balears, Illes;Educación primaria;2017;25,0
Ambos sexos;04 Balears, Illes;Educación primaria;2018;30,6
Ambos sexos;04 Balears, Illes;Educación primaria;2019;29,9
Ambos sexos;04 Balears, Illes;Educación primaria;2020;19,1
Ambos sexos;04 Balears, Illes;Educación primaria;2021;22,3
Ambos sexos;04 Balears, Illes;Educación primaria;2022;30,0
Ambos sexos;04 Balears, Illes;Educación primaria;2023;28,4
Ambos sexos;04 Balears, Illes;Educación primaria;2024;28,0
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2014;216,8
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2015;214,5
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2016;210,7
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2017;209,6
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2018;218,2
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2019;215,0
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2020;186,3
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2021;173,7
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2022;191,5
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2023;197,6
Ambos sexos;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2024;202,0
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2014;104,8
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2015;113,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2016;112,3
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2017;108,0
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2018;111,8
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2019;106,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2020;115,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2021;109,0
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2022;117,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2023;125,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2024;111,0
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;54,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;61,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;67,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;64,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;70,0
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;71,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;70,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;76,9
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;68,8
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;72,0
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;80,0
Ambos sexos;04 Balears, Illes;Educación superior;2014;177,0
Ambos sexos;04 Balears, Illes;Educación superior;2015;178,1
Ambos sexos;04 Balears, Illes;Educación superior;2016;185,8
Ambos sexos;04 Balears, Illes;Educación superior;2017;196,4
Ambos sexos;04 Balears, Illes;Educación superior;2018;194,8
Ambos sexos;04 Balears, Illes;Educación superior;2019;215,0
Ambos sexos;04 Balears, Illes;Educación superior;2020;232,5
Ambos sexos;04 Balears, Illes;Educación superior;2021;240,1
Ambos sexos;04 Balears, Illes;Educación superior;2022;227,2
Ambos sexos;04 Balears, Illes;Educación superior;2023;223,7
Ambos sexos;04 Balears, Illes;Educación superior;2024;241,8
Ambos sexos;05 Canarias;Analfabetos;2014;3,3
Ambos sexos;05 Canarias;Analfabetos;2015;7,9
Ambos sexos;05 Canarias;Analfabetos;2016;3,7
Ambos sexos;05 Canarias;Analfabetos;2017;2,8
Ambos sexos;05 Canarias;Analfabetos;2018;1,9
Ambos sexos;05 Canarias;Analfabetos;2019;1,3
Ambos sexos;05 Canarias;Analfabetos;2020;3,0
Ambos sexos;05 Canarias;Analfabetos;2021;3,2
Ambos sexos;05 Canarias;Analfabetos;2022;2,6
Ambos sexos;05 Canarias;Analfabetos;2023;1,4
Ambos sexos;05 Canarias;Analfabetos;2024;3,3
Ambos sexos;05 Canarias;Estudios primarios incompletos;2014;33,3
Ambos sexos;05 Canarias;Estudios primarios incompletos;2015;30,6
Ambos sexos;05 Canarias;Estudios primarios incompletos;2016;25,1
Ambos sexos;05 Canarias;Estudios primarios incompletos;2017;20,3
Ambos sexos;05 Canarias;Estudios primarios incompletos;2018;27,0
Ambos sexos;05 Canarias;Estudios primarios incompletos;2019;15,0
Ambos sexos;05 Canarias;Estudios primarios incompletos;2020;18,4
Ambos sexos;05 Canarias;Estudios primarios incompletos;2021;12,9
Ambos sexos;05 Canarias;Estudios primarios incompletos;2022;10,7
Ambos sexos;05 Canarias;Estudios primarios incompletos;2023;11,3
Ambos sexos;05 Canarias;Estudios primarios incompletos;2024;9,5
Ambos sexos;05 Canarias;Educación primaria;2014;129,6
Ambos sexos;05 Canarias;Educación primaria;2015;121,5
Ambos sexos;05 Canarias;Educación primaria;2016;108,1
Ambos sexos;05 Canarias;Educación primaria;2017;104,5
Ambos sexos;05 Canarias;Educación primaria;2018;87,6
Ambos sexos;05 Canarias;Educación primaria;2019;90,4
Ambos sexos;05 Canarias;Educación primaria;2020;76,7
Ambos sexos;05 Canarias;Educación primaria;2021;76,9
Ambos sexos;05 Canarias;Educación primaria;2022;67,4
Ambos sexos;05 Canarias;Educación primaria;2023;69,7
Ambos sexos;05 Canarias;Educación primaria;2024;64,9
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2014;339,7
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2015;344,2
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2016;328,5
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2017;323,5
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2018;333,1
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2019;326,5
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2020;283,8
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2021;280,2
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2022;288,8
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2023;313,1
Ambos sexos;05 Canarias;Primera etapa de Educación Secundaria y similar;2024;315,1
Ambos sexos;05 Canarias;Segunda etapa de educación secundaria, con orientación general;2014;173,7
Ambos sexos;05 Canarias;Segunda etapa de educación secundaria, con orientación general;2015;179,1
Ambos sexos;05 Canarias;Segunda etapa de educación secundaria, con orientación general;2016;183,4
